time (s),pt1,pt2,pt3,pt4,pt5,pt6,pt7,pt8,pt9
-0.0000245,0,0,-0.166993136,0.179356909,0,-0.179872265,27.36608967,-0.096842771,0.11529119
-2.43E-05,-0.408603556,-0.168605404,0,-0.179356909,-0.095048129,-0.269808397,27.20652063,0,0.230582381
-0.000024,-0.204301778,0.084302702,0.166993136,0.179356909,-0.190096259,-0.179872265,27.36608967,-0.096842771,0
-2.38E-05,-0.204301778,-0.084302702,0.166993136,0,-0.095048129,-0.089936132,27.28630515,-0.096842771,-0.230582381
-0.0000235,-0.204301778,0,0,0,-0.095048129,-0.269808397,27.28630515,-0.096842771,0.230582381
-2.33E-05,0,-0.084302702,0,0,-0.190096259,-0.089936132,27.12673611,-0.193685541,0.230582381
-0.000023,0,0,0,0.179356909,-0.095048129,-0.089936132,27.28630515,-0.193685541,0.230582381
-2.28E-05,-0.204301778,-0.168605404,0.166993136,-0.179356909,-0.190096259,-0.179872265,27.28630515,-0.193685541,0
-0.0000225,-0.204301778,-0.168605404,-0.166993136,0,-0.095048129,-0.179872265,27.36608967,-0.096842771,0.11529119
-2.23E-05,-0.204301778,-0.168605404,-0.166993136,0,-0.095048129,-0.269808397,27.28630515,-0.193685541,0.11529119
-0.000022,-0.204301778,0,0.166993136,0,-0.095048129,-0.089936132,27.28630515,-0.290528312,0
-2.18E-05,-0.204301778,-0.084302702,0,-0.179356909,-0.095048129,-0.089936132,27.28630515,-0.193685541,0.11529119
-0.0000215,-0.204301778,-0.168605404,0,0.179356909,-0.095048129,-0.179872265,27.20652063,-0.290528312,0
-2.13E-05,-0.204301778,-0.168605404,0,0,-0.095048129,-0.179872265,27.28630515,-0.193685541,0.11529119
-0.000021,-0.612905335,-0.084302702,0.166993136,0.179356909,0,-0.089936132,27.36608967,-0.193685541,0.11529119
-2.08E-05,-0.204301778,0.084302702,0,-0.358713819,-0.095048129,-0.179872265,27.28630515,-0.290528312,0.11529119
-0.0000205,-0.204301778,0,-0.166993136,-0.179356909,-0.095048129,-0.089936132,27.36608967,-0.193685541,0
-2.03E-05,0,-0.168605404,0,0,-0.285144388,-0.179872265,27.36608967,-0.193685541,0.11529119
-0.00002,-0.408603556,-0.168605404,0,-0.179356909,-0.285144388,-0.089936132,27.20652063,-0.096842771,0
-1.98E-05,0,-0.084302702,0,-0.179356909,0,-0.179872265,27.28630515,0,-0.11529119
-0.0000195,0,-0.084302702,-0.166993136,-0.179356909,0,-0.089936132,27.20652063,-0.193685541,0.11529119
-1.93E-05,0,-0.084302702,-0.166993136,-0.179356909,-0.095048129,-0.179872265,27.20652063,-0.193685541,0.11529119
-0.000019,-0.204301778,-0.168605404,0,0,-0.095048129,-0.089936132,27.28630515,-0.193685541,0.11529119
-1.88E-05,-0.408603556,-0.084302702,0.166993136,-0.179356909,-0.095048129,-0.089936132,27.36608967,-0.290528312,-0.11529119
-0.0000185,-0.408603556,-0.084302702,0,0.179356909,-0.190096259,-0.269808397,27.28630515,-0.096842771,0.11529119
-1.83E-05,-0.408603556,-0.084302702,0,0,-0.095048129,0,27.28630515,-0.096842771,0
-0.000018,-0.204301778,-0.084302702,-0.166993136,-0.179356909,-0.190096259,-0.179872265,27.20652063,-0.096842771,0
-1.78E-05,0,-0.168605404,0,-0.179356909,0,-0.089936132,27.12673611,-0.193685541,0
-0.0000175,-0.408603556,-0.168605404,0,0,-0.095048129,0,27.20652063,-0.096842771,-0.11529119
-1.73E-05,-0.204301778,0.084302702,-0.166993136,0.179356909,-0.095048129,0,27.28630515,-0.096842771,0.11529119
